NCBI_Refseq	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	Isolation Source
GCF_004766125	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella freteri	host
GCF_004792655	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp004792655	host
GCF_004793475	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp002491635	host
GCF_004793925	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	NM07-P-09	NM07-P-09 sp004793925	host
GCF_004801635	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum sp002473395	host
GCF_005845105	Firmicutes_A	Clostridia_A	Christensenellales	GCA-900066905	GCA-900066905	GCA-900066905 sp900066905	host
GCF_009695635	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Spiro-01	Spiro-01 sp009695635	host
GCF_009695655	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Sharpea	Sharpea azabuensiA	host
GCF_009695875	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella sp900555995	host
GCF_009695985	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus porci	host
GCF_009696175	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	VUMM01	VUMM01 sp009696175	host
GCF_009917405	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	C-19 sp009917405	host
GCF_009917525	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp009917525	host
GCF_009917545	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp009917545	host
GCF_013155265	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	MMGLQ5-1	MMGLQ5-1 sp013155265	host
GCF_013166515	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp013166515	host
GCF_013166545	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp013166545	host
GCF_013166595	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002298815	host
GCF_013166605	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp013166605	host
GCF_013346925	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus mellis	host
GCF_013415425	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella sp013415425	host
GCF_014281125	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor gabonensis	host
GCF_014287275	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Pygmaiobacter	Pygmaiobacter sp014287275	host
GCF_014287635	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp014287635	host
GCF_014287875	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp014287875	host
GCF_014287955	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp900316325	host
GCF_900240245	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_A	Lachnoclostridium_A edouardi	host
GCF_900240315	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_B	Dorea_B phocaeensis	host
GCF_900291465	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	CAG-462	CAG-462 sp900291465	host
GCF_900604955	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Neoactinobaculum	Neoactinobaculum massilliense	host
GCF_900751685	Firmicutes_A	Clostridia	Monoglobales_A	UBA1381	HGM11530	HGM11530 sp900751685	host
GCF_900759985	Firmicutes	Bacilli	RF39	UBA660	CAG-594	CAG-594 sp900759985	host
GCF_900763175	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900763175	host
GCF_900764045	Firmicutes_A	Clostridia	Lachnospirales	UBA1390	UBA1390	UBA1390 sp900764045	host
GCF_900766585	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	HGM12789	HGM12789 sp900766585	host
GCF_900766775	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp900766775	host
GCF_900767605	Firmicutes	Bacilli	RFN20	CAG-826	UBA733	UBA733 sp900767605	host
GCF_900767645	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAAFZY01	CAAFZY01 sp900767645	host
GCF_900767825	Firmicutes	Bacilli	RFN20	CAG-826	UBA733	UBA733 sp900767825	host
GCF_900767955	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp900767955	host
GCF_900768245	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS363	UMGS363 sp900768245	host
GCF_900768425	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	HGM11367	HGM11367 sp900768425	host
GCF_900768515	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis sp900768515	host
GCF_900768705	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp900768705	host
GCF_900769075	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	UBA11524	UBA11524 sp900769075	host
GCF_900769465	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	HGM04593	HGM04593 sp900769465	host
GCF_900769535	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1976	UMGS1976 sp900769535	host
GCF_900769705	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410	RUG410 sp900769705	host
GCF_900769955	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Spiro-01	Spiro-01 sp900769955	host
GCF_900769975	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp900769975	host
GCF_900769985	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp900769985	host
GCF_900770255	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp900770255	host
GCF_900770345	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900770345	host
GCF_900770405	Firmicutes_A	Clostridia	Monoglobales_A	UBA1381	HGM11525	HGM11525 sp900770405	host
GCF_900772415	Firmicutes	Bacilli	RF39	UBA660	CAG-594	CAG-594 sp900772415	host
GCF_900772625	Proteobacteria	Alphaproteobacteria	RF32	UBA3637	CAAHEQ01	CAAHEQ01 sp900772625	host
GCF_903645315	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	UMGS1518	UMGS1518 sp900552575	host
GCA_001412365	WOR-3	SDB-A	SDB-A	SDB-A	SDB-A	SDB-A sp001412365	marine environment
GCA_001438205	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp001438205	marine environment
GCA_002167745	Proteobacteria	Gammaproteobacteria	Burkholderiales	UBA3031	UBA3031	UBA3031 sp002167745	marine environment
GCA_002167805	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp002167805	marine environment
GCA_002299965	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	UBA646	UBA646 sp002299965	marine environment
GCA_002333405	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Aquiluna	Aquiluna sp002333405	marine environment
GCA_002336245	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	UBA4419	UBA4419 sp002336245	marine environment
GCA_002346225	Bacteroidota	Bacteroidia	Chitinophagales	BACL12	UBA11426	UBA11426 sp002346225	marine environment
GCA_002364005	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA1924	UBA1924 sp002364005	marine environment
GCA_002364555	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA1668	UBA1668 sp002364555	marine environment
GCA_002375935	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	UBA3574	UBA3574 sp002375935	marine environment
GCA_002375995	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	UBA3571	UBA3571 sp002375995	marine environment
GCA_002376045	Firmicutes_A	Thermosediminibacteria	UBA3567	UBA3567	UBA3567	UBA3567 sp002376045	marine environment
GCA_002376065	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	UBA3566	UBA3566 sp002376065	marine environment
GCA_002390705	Actinobacteriota	Actinomycetia	Nanopelagicales	S36-B12	UBA4592	UBA4592 sp002390705	marine environment
GCA_002450835	Chloroflexota	Dehalococcoidia	UBA6926	UBA6926	UBA6926	UBA6926 sp002450835	marine environment
GCA_002471845	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TCS55	TCS55 sp002471845	marine environment
GCA_002480345	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA1926	UBA1926 sp002480345	marine environment
GCA_002500505	Planctomycetota	UBA1135	UBA1135	UBA1135	UBA7888	UBA7888 sp002500505	marine environment
GCA_002682945	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp002682945	marine environment
GCA_002689385	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-002718515	GCA-002718515 sp002689385	marine environment
GCA_002699725	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	S20-B6	S20-B6 sp002699725	marine environment
GCA_002701365	Bacteroidota	Bacteroidia	Flavobacteriales	TMED113	GCA-002701365	GCA-002701365 sp002701365	marine environment
GCA_002705055	Planctomycetota	UBA1135	UBA1135	UBA1135	GCA-2705055	GCA-2705055 sp002705055	marine environment
GCA_002705085	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA8653	UBA8653 sp002705085	marine environment
GCA_002709295	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-002862325	GCA-002862325 sp002709295	marine environment
GCA_002711415	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-2711415	GCA-2711415 sp002711415	marine environment
GCA_002717465	Chloroflexota	Dehalococcoidia	SAR202	UBA826	GCA-2717465	GCA-2717465 sp002717465	marine environment
GCA_002718095	Chloroflexota	Dehalococcoidia	SAR202	UBA826	UBA826	UBA826 sp002718095	marine environment
GCA_002721895	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA1100	UBA6614	UBA6614 sp002721895	marine environment
GCA_002728195	Chloroflexota	Dehalococcoidia	SAR202	UBA826	UBA11996	UBA11996 sp002728195	marine environment
GCA_002728855	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	GCA-002728855	GCA-002728855 sp002728855	marine environment
GCA_002733385	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Robiginitomaculum_A	Robiginitomaculum_A sp002733385	marine environment
GCA_002746235	Planctomycetota	UBA1135	UBA1135	UBA1135	GCA-2746235	GCA-2746235 sp002746235	marine environment
GCA_002746305	Bacteroidota	Bacteroidia	NS11-12g	UBA9320	UBA9320	UBA9320 sp002746305	marine environment
GCA_002862305	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA8087	UBA8087 sp002862305	marine environment
GCA_003641415	Zixibacteria	MSB-5A5	GN15	44604	B120-G9	B120-G9 sp003641415	marine environment
GCA_003641665	WOR-3	32-111	QNBC01	QNBC01	QNBC01	QNBC01 sp003641665	marine environment
GCA_003644505	Omnitrophota	Koll11	UBA1560	SKK-01	B134-G9	B134-G9 sp003644505	marine environment
GCA_003645085	UBP14	UBA6098	UBA6098	UBA6098	QNEE01	QNEE01 sp003645085	marine environment
GCA_003712165	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-2732755	GCA-2732755 sp003712165	marine environment
GCA_004195325	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izemoplasma_B	Izemoplasma_B sp004195325	marine environment
GCA_004213555	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA8653	UBA8653 sp002862275	marine environment
GCA_004375785	WOR-3	E44-bin80	E44-bin80	E44-bin80	E44-bin80	E44-bin80 sp004375785	marine environment
GCA_004375895	WOR-3	WOR-3	B3-TA06	B3-TA06	B3-TA06	B3-TA06 sp004375895	marine environment
GCA_004376325	Actinobacteriota	UBA1414	UBA1414	UBA1414	20-14-0-20-35-9	20-14-0-20-35-9 sp004376325	marine environment
GCA_004376575	TA06	DG-26	E44-bin18	E44-bin18	E44-bin18	E44-bin18 sp004376575	marine environment
GCA_004376785	WOR-3	WOR-3	SM23-42	SM23-42	SOIY01	SOIY01 sp004376785	marine environment
GCA_004377355	WOR-3	UBA3072	UBA3072	UBA3072	E29-bin14	E29-bin14 sp004377355	marine environment
GCA_005223075	WOR-3	WOR-3	B3-TA06	B3-TA06	B3-TA06	B3-TA06 sp005223075	marine environment
GCA_008373095	Chloroflexota	Dehalococcoidia	SAR202	UBA826	UBA11996	UBA11996 sp002320875	marine environment
GCA_008636105	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	DRGJ01	DRGJ01 sp008636105	marine environment
GCA_009391535	Chloroflexota	Dehalococcoidia	UBA2985	UBA2985	VFHP01	VFHP01 sp009391535	marine environment
GCA_009392005	Chloroflexota	Dehalococcoidia	UBA6926	VFHL01	VFHL01	VFHL01 sp009392005	marine environment
GCA_009392195	Chloroflexota	Dehalococcoidia	SAR202	OSU-TB39	OSU-TB39	OSU-TB39 sp009392195	marine environment
GCA_009392295	Chloroflexota	Dehalococcoidia	SAR202	GCA-2719675	GCA-2719675	GCA-2719675 sp009392295	marine environment
GCA_009711825	Firmicutes_D	Proteinivoracia	UBA4975	VEMY01	VEMY01	VEMY01 sp009711825	marine environment
GCA_011170285	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA5760	W498	W498 sp011170285	marine environment
GCA_011170375	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Fen-1064	W589	W589 sp011170375	marine environment
GCA_011174795	Chloroflexota	Dehalococcoidia	SZUA-161	SZUA-161	W281	W281 sp011174795	marine environment
GCA_011773985	RBG-13-66-14	B26-G2	WVWN01	WVWN01	WVWN01	WVWN01 sp011773985	marine environment
GCA_012959525	Planctomycetota	UBA1135	UBA1135	GCA-002686595	GCA-2720975	GCA-2720975 sp012959525	marine environment
GCA_013001705	Bacteroidota	Bacteroidia	Flavobacteriales	JABDKJ01	JABDLZ01	JABDLZ01 sp013001705	marine environment
GCA_013002165	Bacteroidota	Rhodothermia	Rhodothermales	UBA10348	JABDKO01	JABDKO01 sp013002165	marine environment
GCA_013138965	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	Aegiribacteria	Aegiribacteria sp013138965	marine environment
GCA_013214265	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	DT-110	DT-110 sp013214265	marine environment
GCA_014238055	Firmicutes	Bacilli	Mycoplasmatales	JABABV01	JABABV01	JABABV01 sp014238055	marine environment
GCA_014238125	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-002718515	GCA-002718515 sp014238125	marine environment
GCA_014238205	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	SP202	SP202 sp014238205	marine environment
GCA_014238785	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-002718515	GCA-002718515 sp014238785	marine environment
GCA_014238965	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	JABAAC01	JABAAC01 sp014238965	marine environment
GCA_014239275	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MAG-121220-bin8	MAG-121220-bin8 sp014239275	marine environment
GCA_014239435	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	JAAZYX01	JAAZYX01 sp014239435	marine environment
GCA_014381305	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-002718515	GCA-002718515 sp014381305	marine environment
GCA_014381755	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	UBA2126 sp014381755	marine environment
GCA_014381855	Marinisomatota	Marinisomatia	Marinisomatales	UBA8229	JACNKV01	JACNKV01 sp014381855	marine environment
GCF_001466305	Firmicutes_A	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitalea	Defluviitalea phaphyphila	marine environment
GCF_004124385	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	UBA2126 sp004124385	marine environment
