NCBI_Refseq	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	Isolation Source
GCA_004554775	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger variabiliB	host
GCA_004555855	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp004555855	host
GCA_004556155	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	SFMI01	SFMI01 sp004556155	host
GCA_004556745	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp004556745	host
GCA_004557185	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp004557185	host
GCA_004557245	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	SFEL01	SFEL01 sp004557245	host
GCA_004557385	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	SFTJ01	SFTJ01 sp004557385	host
GCA_004557565	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565	host
GCA_004557645	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum sp004557645	host
GCA_004557655	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp004557655	host
GCA_009774765	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp009774765	host
GCA_009776515	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA1222	WRNP01	WRNP01 sp009776515	host
GCA_009777055	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	WRMQ01	WRMQ01 sp009777055	host
GCA_009777235	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	WRMH01	WRMH01 sp009777235	host
GCA_009777575	Cloacimonadota	Cloacimonadia	Cloacimonadales	WRIO01	WRLO01	WRLO01 sp009777575	host
GCA_009777635	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	WRAV01	WRAV01 sp009777635	host
GCA_009777715	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA935	UBA935 sp009777715	host
GCA_009777725	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA946	UBA946 sp009777725	host
GCA_009777835	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E sp009777835	host
GCA_009778065	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E sp009778065	host
GCA_009780275	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	WRAI01	WRAI01 sp009780275	host
GCA_009781315	Elusimicrobiota	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	Endomicrobium sp009781315	host
GCA_009781515	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	WRMH01	WRMH01 sp009781515	host
GCA_009782435	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	WRJA01	WRJA01 sp009782435	host
GCA_009782605	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Raoultibacter	Raoultibacter sp009782605	host
GCA_009784895	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	WQXJ01	WQXJ01 sp009784895	host
GCA_009785175	Proteobacteria	Alphaproteobacteria	Rs-D84	CACZYB01	WQWV01	WQWV01 sp009785175	host
