Hepler	sameSp	Type
S08	S85	NS
S60	S87	NG
S63	S88	NS
S63	S88	NS
S47	S89	KS
S63	S89	KS
S64	S90	NS
S26	S91	KS
S63	S91	KS
S20	S92	KS
S64	S94	KS
S08	S95	KS
S11	S95	KS
S11	S95	KS
S11	S95	KS
S20	S95	KS
S26	S95	KS
S47	S95	KS
S47	S95	KS
S60	S95	KS
S63	S95	KS
S64	S95	KS
S64	S95	KS
S20	S95	KS
S63	S96	KS
S08	S97	KS
S63	S97	KS
S63	S98	KS
S60	S99	KS
S64	S100	KS
S20	S101	NS
S08	S102	NS
S26	S102	NS
S64	S102	NS
S26	S102	NS
S63	S102	NS
S64	S102	NS
S60	S103	KS
S08	S104	NG
S20	S106	KS
S26	S106	KS
S26	S106	KS
S63	S106	KS
S26	S107	KS
S08	S108	KS
S08	S108	KS
S11	S108	KS
S20	S108	KS
S26	S108	KS
S63	S108	KS
S64	S108	KS
S60	S109	KS
S11	S109	KS
S20	S110	NS
S60	S111	NS
S26	S112	KS
S47	S113	NS
S11	S114	KS
S20	S115	KS
S47	S115	KS
S47	S116	KS
S20	S117	KS
S63	S118	NS
S08	S119	KS
S11	S119	KS
S20	S119	KS
S26	S119	KS
S26	S119	KS
S47	S119	KS
S60	S119	KS
S60	S119	KS
S64	S119	KS
S64	S119	KS
S63	S120	NS
S08	S121	KS
S11	S121	KS
S60	S121	KS
S63	S121	KS
S64	S121	KS
S26	S123	KS
S60	S123	KS
S60	S123	KS
S08	S124	NS
S63	S124	NS
S60	S125	NS
S26	S125	NS
S47	S126	KS
S60	S126	KS
S64	S127	NS
S47	S128	KS
S64	S129	KS
S20	S130	KS
S26	S130	KS
S60	S130	KS
S64	S130	KS
S11	S131	KS
S11	S131	KS
S20	S131	KS
S20	S131	KS
S47	S131	KS
S47	S131	KS
S11	S132	NS
S20	S133	KS
S47	S133	KS
S60	S134	NS
S08	S135	KS
S63	S136	KS
S47	S136	KS
S60	S136	KS
S64	S137	KS
S11	S138	KS
S60	S138	KS
S64	S139	NS
S11	S140	KS
S08	S141	KS
S08	S142	KS
S20	S142	KS
S20	S142	KS
S26	S142	KS
S47	S142	KS
S60	S142	KS
S63	S142	KS
S63	S142	KS
S64	S142	KS
S08	S142	KS
S60	S144	NS
S20	S145	KS
S64	S146	KS
S60	S147	KS
S60	S147	KS
S64	S147	KS
S20	S148	KS
S26	S149	NS
S26	S150	KS
S47	S151	NS
S11	S152	NS
S20	S153	NS
S20	S154	NS
S20	S155	KS
S26	S156	KS
S11	S157	KS
S20	S157	KS
S47	S157	KS
S64	S157	KS
S64	S158	NS
S47	S159	KS
S64	S160	KS
S11	S161	KS
S08	S162	NG
S08	S162	NS
S64	S163	KS
S08	S164	KS
S11	S164	KS
S20	S164	KS
S60	S164	KS
S60	S164	KS
S60	S165	NS
S20	S166	NS
S63	S167	NS
S20	S168	KS
S47	S169	KS
S08	S170	NS
S08	S171	KS
S60	S172	KS
S63	S174	KS
S63	S173	NS
S47	S175	NS
S26	S176	NS
S08	S177	KS
S20	S177	KS
S20	S177	KS
S60	S177	KS
S60	S177	KS
S63	S177	KS
S64	S177	KS
S11	S178	NS
S60	S178	NS
S20	S178	NS
S08	S178	NS
S26	S178	NS
S60	S178	NS
S64	S178	NS
S47	S179	KS
S64	S179	KS
S60	S180	NS
S47	S180	NS
S20	S181	KS
S63	S182	NS
S64	S183	NS
S08	S184	KS
S20	S185	KS
S20	S185	KS
S63	S186	KS
S08	S187	KS
S64	S188	NS
S63	S188	NS
S11	S189	KS
S20	S190	NS
S60	S191	KS
S47	S192	KS
S20	S193	KS
S47	S193	KS
S08	S194	NS
S08	S195	KS
S20	S195	KS
S26	S195	KS
S47	S195	KS
S60	S195	KS
S64	S195	KS
S64	S195	KS
S11	S195	KS
S20	S195	KS
S64	S196	NS
S08	S197	KS
S08	S198	NS
S63	S199	KS
S60	S200	NG
S63	S200	NS
S60	S200	NS
S63	S200	NS
S64	S201	NS
S47	S202	NS
S47	S202	NS
S20	S203	NS
S20	S203	NS
S20	S203	NS
S11	S204	NS
S11	S205	NG
S63	S206	NS
S20	S207	KS
S64	S207	KS
S64	S207	KS
S20	S207	KS
S11	S208	NG
S63	S208	NG
S63	S208	NG
S11	S208	NG
S11	S208	NG
S47	S209	NS
S60	S210	NS
S26	S210	NS
S64	S210	NS
S20	S211	NS
S20	S211	NS
S60	S212	NG
S63	S212	NS
S63	S213	NS
S11	S214	NS
S11	S214	NS
S11	S214	NS
S20	S215	NS
S64	S216	NS
S63	S217	KS
S60	S218	NS
S63	S220	KS
S26	S221	KS
S26	S223	KS
S08	S224	NS
S47	S224	NS
S47	S224	NS
S20	S225	KS
S20	S225	KS
S26	S226	NG
S20	S228	NS
S11	S229	KS
S11	S229	KS
S20	S229	KS
S11	S231	KS
S60	S232	KS
S08	S233	KS
S26	S234	NS
S26	S234	NS
S26	S235	NS
S11	S236	NS
S47	S237	KS
S20	S238	KS
S08	S240	KS
S08	S240	KS
S11	S240	KS
S11	S240	KS
S20	S240	KS
S47	S240	KS
S47	S240	KS
S60	S240	KS
S63	S240	KS
S64	S240	KS
S64	S240	KS
S63	S240	KS
S11	S241	NS
S11	S242	KS
S11	S242	KS
S64	S242	KS
S26	S243	KS
S47	S243	KS
S08	S244	KS
S47	S244	KS
S11	S245	KS
S20	S245	KS
S60	S245	KS
S08	S246	NS
S20	S246	NS
S26	S246	NS
S26	S246	NS
S26	S247	KS
S63	S247	KS
S26	S248	KS
S64	S248	KS
S08	S249	NS
S26	S250	NS
S63	S251	KS
S20	S252	KS
S26	S253	NS
S64	S254	KS
S20	S255	KS
S08	S256	NS
S08	S256	NS
S47	S257	NS
S20	S258	KS
S26	S261	NS
S63	S262	KS
S64	S263	NS
S47	S264	NS
S20	S264	NS
S63	S264	NS
S20	S264	NS
S64	S265	KS
S08	S266	KS
S63	S267	KS
S08	S268	KS
S08	S268	KS
S11	S268	KS
S11	S268	KS
S20	S268	KS
S47	S268	KS
S47	S268	KS
S60	S268	KS
S63	S268	KS
S64	S268	KS
S08	S269	KS
S26	S269	KS
S60	S269	KS
S63	S270	KS
S08	S271	KS
S60	S271	KS
S60	S271	KS
S63	S271	KS
S63	S272	KS
S20	S274	NS
S20	S275	NS
S47	S275	NS
S20	S276	NS
S26	S277	NS
S08	S278	KS
S11	S278	KS
S63	S278	KS
S63	S278	KS
S64	S278	KS
S60	S279	NS
S63	S280	NS
S64	S281	NS
S11	S282	NS
S47	S284	KS
S20	S285	KS
S63	S285	KS
S08	S286	KS
S63	S287	KS
S64	S288	KS
S20	S289	NG
S20	S290	KS
S11	S292	NS
S26	S293	KS
S08	S294	KS
S11	S294	KS
S60	S295	KS
S20	S296	NS
S63	S296	NS
S63	S296	NS
S64	S296	NS
S63	S296	NS
S20	S296	NS
S64	S296	NS
S60	S297	NS
S64	S298	NS
S20	S299	KS
S26	S299	KS
S64	S299	KS
S64	S299	KS
S08	S300	KS
S08	S300	KS
S26	S300	KS
S26	S300	KS
S47	S300	KS
S47	S300	KS
S11	S301	KS
S11	S301	KS
S26	S301	KS
S64	S301	KS
S64	S302	NS
S63	S304	KS
S26	S305	NS
S47	S306	NS
S11	S306	NS
S47	S306	NS
S20	S306	NS
S64	S307	KS
S26	S308	NS
S20	S308	NS
S20	S308	NS
S26	S309	NS
S08	S310	NS
S64	S311	KS
S64	S312	NS
S08	S312	NS
S64	S313	NS
S20	S314	KS
S11	S315	NS
S63	S317	NS
S11	S317	NS
S11	S317	NS
S47	S318	KS
S63	S318	KS
S11	S319	NS
S60	S320	NS
S47	S321	KS
S60	S321	KS
S11	S321	KS
S11	S321	KS
S63	S321	KS
S63	S322	NS
S20	S323	KS
S47	S323	KS
S20	S324	KS
S64	S325	NS
S60	S325	NS
S60	S325	NS
S60	S325	NS
S20	S326	NS
S60	S326	NS
S26	S326	NS
S08	S327	KS
