Hepler	sameSp	Type
S11	S714	NS
S11	S716	NS
S11	S717	KS
S08	S718	KS
S11	S718	KS
S20	S719	KS
S26	S720	KS
S20	S722	KS
S64	S722	KS
S08	S722	KS
S11	S723	NS
S20	S724	KS
S20	S725	KS
S08	S726	KS
S20	S727	KS
S20	S727	KS
S64	S727	KS
S20	S728	KS
S26	S728	KS
S20	S729	KS
S08	S730	KS
S20	S731	NS
S08	S732	KS
S20	S733	KS
S26	S733	KS
S60	S733	KS
S08	S735	KS
S60	S735	KS
S64	S736	KS
S26	S737	KS
S26	S738	KS
S63	S738	KS
S64	S738	KS
S08	S739	KS
S47	S739	KS
S08	S740	NS
S08	S740	NS
S63	S741	NS
S26	S742	KS
S11	S743	NS
S47	S745	KS
S64	S745	KS
S64	S746	KS
S26	S747	KS
S63	S747	KS
S20	S748	KS
S11	S749	NS
S11	S749	NS
S26	S749	NS
S64	S749	NS
S20	S749	NS
S08	S749	NS
S60	S750	KS
S08	S751	NS
S26	S752	NS
S08	S753	KS
S20	S753	KS
S47	S753	KS
S47	S753	KS
S60	S753	KS
S08	S753	KS
S11	S754	KS
S20	S754	KS
S60	S754	KS
S47	S755	NS
S63	S755	NS
S26	S756	NS
S63	S757	NS
S20	S759	NS
S08	S759	NS
S26	S760	NS
S26	S761	NS
S26	S761	NS
S08	S761	NS
S20	S762	KS
S47	S762	KS
S64	S762	KS
S08	S764	NS
S60	S765	KS
S20	S766	KS
S20	S768	NS
S08	S769	KS
S26	S770	NS
S08	S772	NS
S20	S772	NS
S26	S772	NS
S08	S772	NS
S08	S772	NS
S47	S772	NS
S47	S774	NS
S11	S775	NS
S26	S776	KS
S64	S777	NS
S11	S778	KS
S64	S779	KS
S11	S779	KS
S26	S779	KS
S26	S779	KS
S47	S779	KS
S63	S779	KS
S20	S780	NS
S11	S781	KS
S47	S782	KS
S60	S784	NS
S60	S785	KS
S64	S785	KS
S26	S786	KS
S20	S787	NS
S20	S788	KS
S60	S788	KS
S60	S789	NS
S60	S789	NS
S63	S790	NS
S26	S791	KS
S63	S791	KS
S47	S792	NS
S26	S793	NG
S20	S794	NS
S20	S794	NS
S26	S795	NS
S26	S795	NS
S47	S795	NS
S60	S796	NS
S63	S796	NS
S47	S797	KS
S63	S797	KS
S63	S797	KS
S63	S798	KS
S11	S799	KS
S11	S799	KS
S63	S799	KS
S20	S800	NS
S47	S801	KS
S60	S802	KS
S08	S803	NS
S47	S803	NS
S11	S803	NS
S47	S804	KS
S08	S805	KS
S20	S805	KS
S26	S805	KS
S47	S805	KS
S47	S805	KS
S60	S805	KS
S63	S805	KS
S64	S805	KS
S64	S805	KS
S11	S806	KS
S20	S806	KS
S26	S806	KS
S47	S806	KS
S64	S806	KS
S08	S806	KS
S26	S807	KS
S20	S808	NS
S64	S809	KS
S63	S810	NS
S08	S811	KS
S63	S813	NG
S20	S814	NS
S08	S815	KS
S11	S815	KS
S20	S815	KS
S26	S815	KS
S26	S815	KS
S47	S815	KS
S60	S815	KS
S64	S815	KS
S11	S815	KS
S63	S815	KS
S47	S816	KS
S63	S816	KS
S63	S816	KS
S63	S817	NS
S63	S817	NS
S26	S817	NS
S64	S817	NS
S63	S817	NS
S47	S818	KS
S60	S818	KS
S11	S819	KS
S11	S820	NS
S60	S820	NS
S11	S821	KS
S63	S821	KS
S64	S822	NS
S08	S823	KS
S20	S824	KS
S26	S825	KS
S47	S825	KS
S26	S826	NS
S63	S827	KS
S11	S828	KS
S20	S828	KS
S26	S828	KS
S63	S828	KS
S64	S828	KS
